,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[526, 172, 211, 273]",0.01,0.0,0.0,0.03,0.03,0.0,0.93,,,,,,,,,,,,,,,,,,,,,,,,
1,"[514, 166, 221, 294]",0.01,0.0,0.01,0.02,0.05,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,
2,"[510, 166, 222, 292]",0.05,0.0,0.02,0.01,0.16,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,
3,"[501, 167, 229, 311]",0.01,0.0,0.0,0.01,0.03,0.0,0.94,,,,,,,,,,,,,,,,,,,,,,,,
4,"[497, 153, 228, 296]",0.02,0.0,0.02,0.02,0.11,0.0,0.83,,,,,,,,,,,,,,,,,,,,,,,,
5,"[514, 166, 220, 286]",0.08,0.0,0.03,0.02,0.14,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,
6,"[513, 165, 223, 286]",0.05,0.0,0.01,0.02,0.02,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,
7,"[517, 167, 220, 287]",0.02,0.0,0.02,0.02,0.04,0.0,0.89,,,,,,,,,,,,,,,,,,,,,,,,
8,"[513, 165, 223, 285]",0.04,0.0,0.01,0.05,0.03,0.01,0.85,,,,,,,,,,,,,,,,,,,,,,,,
9,"[453, 182, 225, 296]",0.02,0.0,0.01,0.02,0.04,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,
10,"[514, 151, 217, 291]",0.03,0.0,0.03,0.02,0.33,0.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,
11,"[534, 159, 226, 289]",0.01,0.0,0.01,0.04,0.03,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,
12,"[513, 165, 222, 285]",0.04,0.0,0.01,0.02,0.06,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,
13,"[502, 168, 223, 292]",0.01,0.0,0.01,0.03,0.03,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,
14,"[508, 167, 218, 283]",0.05,0.0,0.02,0.01,0.09,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,
15,"[516, 168, 222, 289]",0.02,0.0,0.02,0.03,0.07,0.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,
16,"[522, 174, 217, 283]",0.02,0.0,0.01,0.01,0.03,0.0,0.94,,,,,,,,,,,,,,,,,,,,,,,,
17,"[531, 181, 207, 265]",0.07,0.0,0.03,0.01,0.05,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,
18,"[505, 174, 227, 304]",0.01,0.0,0.0,0.02,0.04,0.0,0.93,,,,,,,,,,,,,,,,,,,,,,,,
19,"[526, 171, 214, 278]",0.04,0.0,0.01,0.01,0.05,0.0,0.89,,,,,,,,,,,,,,,,,,,,,,,,
20,"[521, 171, 217, 279]",0.02,0.0,0.02,0.01,0.06,0.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,
21,"[524, 173, 217, 284]",0.03,0.0,0.01,0.02,0.03,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,
22,"[530, 183, 211, 264]",0.05,0.0,0.01,0.0,0.03,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,
23,"[536, 167, 218, 269]",0.03,0.0,0.02,0.02,0.05,0.02,0.86,,,,,,,,,,,,,,,,,,,,,,,,
24,"[529, 177, 216, 279]",0.02,0.0,0.01,0.01,0.02,0.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,
25,"[536, 172, 213, 279]",0.02,0.0,0.01,0.02,0.02,0.0,0.94,,,,,,,,,,,,,,,,,,,,,,,,
26,"[534, 171, 216, 276]",0.05,0.0,0.04,0.02,0.12,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,
27,"[528, 158, 220, 295]",0.01,0.0,0.04,0.05,0.06,0.01,0.83,,,,,,,,,,,,,,,,,,,,,,,,
28,"[524, 179, 208, 268]",0.02,0.0,0.02,0.03,0.05,0.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,
29,"[531, 180, 214, 271]",0.05,0.0,0.04,0.01,0.09,0.0,0.81,,,,,,,,,,,,,,,,,,,,,,,,
30,"[517, 169, 218, 288]",0.05,0.0,0.02,0.01,0.07,0.01,0.85,,,,,,,,,,,,,,,,,,,,,,,,
31,"[528, 176, 223, 299]",0.01,0.0,0.02,0.02,0.09,0.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,
32,"[521, 176, 218, 283]",0.04,0.0,0.01,0.01,0.03,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,
33,"[524, 162, 220, 293]",0.02,0.0,0.06,0.01,0.09,0.02,0.81,,,,,,,,,,,,,,,,,,,,,,,,
34,"[533, 183, 209, 265]",0.03,0.0,0.02,0.03,0.05,0.01,0.87,,,,,,,,,,,,,,,,,,,,,,,,
35,"[531, 175, 214, 277]",0.03,0.0,0.02,0.0,0.07,0.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,
