,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[568, 77, 121, 149]",0.13,0.0,0.04,0.15,0.58,0.0,0.09,,,,,,,,
1,"[579, 108, 119, 151]",0.14,0.0,0.03,0.15,0.57,0.0,0.12,,,,,,,,
2,"[593, 68, 137, 176]",0.22,0.0,0.01,0.25,0.25,0.0,0.27,,,,,,,,
3,"[550, 105, 125, 160]",0.07,0.0,0.0,0.87,0.04,0.0,0.02,,,,,,,,
4,"[590, 106, 114, 146]",0.51,0.0,0.03,0.0,0.4,0.0,0.05,,,,,,,,
5,"[534, 110, 125, 156]",0.26,0.0,0.04,0.1,0.41,0.0,0.19,,,,,,,,
6,"[633, 107, 129, 166]",0.53,0.1,0.0,0.0,0.14,0.0,0.22,,,,,,,,
7,"[586, 103, 123, 159]",0.1,0.0,0.03,0.01,0.83,0.0,0.03,,,,,,,,
8,"[575, 97, 125, 149]",0.27,0.0,0.03,0.01,0.15,0.0,0.53,,,,,,,,
9,"[623, 135, 129, 164]",0.47,0.0,0.01,0.02,0.18,0.0,0.31,,,,,,,,
10,"[567, 87, 140, 176]",0.13,0.0,0.01,0.03,0.51,0.0,0.32,,,,,,,,
11,"[563, 70, 147, 191]",0.12,0.0,0.01,0.03,0.63,0.0,0.2,,,,,,,,
12,"[554, 113, 123, 152]",0.11,0.0,0.04,0.01,0.74,0.0,0.1,,,,,,,,
13,"[556, 139, 128, 159]",0.53,0.04,0.01,0.11,0.21,0.0,0.11,,,,,,,,
14,"[560, 118, 145, 184]",0.17,0.09,0.02,0.02,0.28,0.0,0.43,,,,,,,,
15,"[569, 97, 129, 167]",0.4,0.0,0.02,0.0,0.55,0.0,0.02,"[371, 380, 134, 177]",0.22,0.0,0.06,0.2,0.42,0.03,0.07
16,"[580, 94, 139, 182]",0.58,0.01,0.01,0.0,0.22,0.0,0.18,,,,,,,,
17,"[579, 114, 135, 173]",0.43,0.14,0.03,0.0,0.36,0.0,0.04,,,,,,,,
18,"[567, 90, 136, 173]",0.32,0.0,0.01,0.01,0.23,0.0,0.43,,,,,,,,
19,"[574, 105, 151, 191]",0.1,0.06,0.0,0.01,0.29,0.0,0.54,"[841, 358, 124, 157]",0.05,0.0,0.07,0.03,0.55,0.03,0.27
20,"[584, 111, 150, 195]",0.02,0.0,0.0,0.36,0.05,0.0,0.56,,,,,,,,
21,"[594, 115, 141, 180]",0.65,0.11,0.01,0.01,0.21,0.0,0.01,,,,,,,,
22,"[593, 129, 151, 190]",0.36,0.02,0.01,0.0,0.32,0.0,0.28,,,,,,,,
23,"[589, 130, 129, 163]",0.63,0.0,0.01,0.01,0.07,0.0,0.28,,,,,,,,
24,"[570, 105, 131, 169]",0.13,0.0,0.01,0.35,0.44,0.0,0.07,,,,,,,,
25,"[544, 116, 128, 162]",0.24,0.0,0.01,0.02,0.68,0.0,0.04,,,,,,,,
26,"[566, 121, 123, 162]",0.03,0.0,0.0,0.79,0.1,0.0,0.08,,,,,,,,
27,"[575, 108, 129, 174]",0.6,0.05,0.04,0.0,0.22,0.0,0.09,,,,,,,,
28,"[708, 121, 130, 163]",0.12,0.0,0.03,0.01,0.72,0.0,0.12,,,,,,,,
29,"[580, 123, 131, 171]",0.03,0.0,0.0,0.7,0.23,0.0,0.04,,,,,,,,
30,"[527, 107, 133, 176]",0.09,0.0,0.02,0.46,0.38,0.0,0.06,,,,,,,,
31,"[535, 108, 128, 164]",0.06,0.0,0.01,0.04,0.79,0.0,0.1,,,,,,,,
32,"[538, 134, 115, 150]",0.15,0.0,0.1,0.01,0.54,0.0,0.21,,,,,,,,
33,"[591, 124, 124, 155]",0.11,0.0,0.01,0.02,0.7,0.0,0.17,,,,,,,,
34,"[609, 133, 120, 152]",0.19,0.01,0.01,0.03,0.17,0.0,0.59,,,,,,,,
35,"[551, 104, 128, 163]",0.22,0.0,0.02,0.38,0.38,0.0,0.0,,,,,,,,
36,"[568, 128, 127, 166]",0.01,0.0,0.0,0.83,0.09,0.0,0.07,,,,,,,,
37,"[565, 109, 120, 145]",0.08,0.0,0.05,0.05,0.74,0.0,0.08,,,,,,,,
38,"[575, 126, 122, 160]",0.12,0.0,0.02,0.01,0.54,0.0,0.3,,,,,,,,
39,"[578, 98, 150, 197]",0.18,0.01,0.03,0.06,0.48,0.0,0.24,,,,,,,,
40,"[599, 88, 137, 182]",0.4,0.0,0.09,0.26,0.24,0.0,0.01,,,,,,,,
41,"[562, 128, 114, 146]",0.13,0.0,0.2,0.1,0.35,0.0,0.21,,,,,,,,
42,"[545, 120, 127, 165]",0.06,0.0,0.0,0.92,0.02,0.0,0.0,,,,,,,,
